epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.25339,3.36493,5.20899,2.88682,0.0006,0.17647,0.00221,0.00027,3.22167,4.91249,2.52145,6e-05,6e-05,6e-05
2,7.82867,3.22712,5.34326,2.86223,0.00133,0.39216,0.00131,0.00029,2.90253,4.58426,2.28555,0.00013538,0.00013538,0.00013538
3,11.5391,2.82579,4.57898,2.15474,0.0024,0.70588,0.1006,0.01564,2.5922,4.38683,1.87023,0.00020548,0.00020548,0.00020548
4,15.1983,2.7759,3.96166,1.92408,0.00313,0.92157,0.23871,0.05698,2.20067,4.06171,1.5595,0.0002703,0.0002703,0.0002703
5,18.7725,2.34763,3.09237,1.65857,0.00327,0.96078,0.24106,0.06082,2.07949,3.94582,1.56358,0.00032984,0.00032984,0.00032984
6,22.3488,2.36621,3.3239,1.74503,0.0032,0.94118,0.11593,0.02597,2.09253,3.99882,1.78361,0.0003841,0.0003841,0.0003841
7,25.974,2.25238,2.77066,1.71486,0.003,0.88235,0.02837,0.00938,2.07775,4.0405,1.81306,0.00043308,0.00043308,0.00043308
8,29.5279,2.11677,2.8569,1.55645,0.0026,0.76471,0.02882,0.00712,2.11982,4.18709,1.9847,0.00047678,0.00047678,0.00047678
9,33.0802,2.16235,2.69087,1.64561,0.00313,0.92157,0.0882,0.02959,1.91884,3.96066,1.63635,0.0005152,0.0005152,0.0005152
10,36.6176,2.2392,2.79896,1.5869,0.00327,0.96078,0.02302,0.00774,1.90896,3.948,1.52639,0.00054834,0.00054834,0.00054834
11,40.1845,2.25429,2.60447,1.60914,0.00313,0.92157,0.0164,0.00512,1.99969,4.05378,1.53198,0.0005762,0.0005762,0.0005762
12,43.7253,2.29592,2.61918,1.58036,0.08806,0.2549,0.04489,0.01497,2.07318,3.87629,1.49648,0.00059878,0.00059878,0.00059878
13,47.2874,2.16047,2.10188,1.44083,0.11772,0.23529,0.053,0.01911,1.90284,3.61645,1.43046,0.00061608,0.00061608,0.00061608
14,50.7805,2.00236,2.42316,1.45602,0.0032,0.94118,0.0403,0.01431,1.8917,3.58411,1.43882,0.0006281,0.0006281,0.0006281
15,54.3602,2.06678,2.80869,1.43424,0.003,0.88235,0.03072,0.00925,1.88905,3.60995,1.46919,0.00063484,0.00063484,0.00063484
16,57.9442,2.08285,2.11239,1.5069,0.00472,0.70588,0.02859,0.00882,1.86602,3.67964,1.49344,0.0006363,0.0006363,0.0006363
17,61.4919,1.96888,1.99961,1.44679,0.00313,0.92157,0.01724,0.00596,1.88391,3.72343,1.47356,0.00063248,0.00063248,0.00063248
18,65.0952,1.95631,2.03696,1.45419,0.00333,0.98039,0.00861,0.00347,1.85458,4.12243,1.46671,0.00062338,0.00062338,0.00062338
19,68.5977,2.01426,2.41493,1.55132,0.00327,0.96078,0.00772,0.00326,1.73669,3.9553,1.41944,0.000609,0.000609,0.000609
20,72.1001,1.78833,2.05182,1.37168,0.00313,0.92157,0.01485,0.00613,1.65936,3.78336,1.38197,0.00058934,0.00058934,0.00058934
21,101.216,1.85657,2.63004,1.44342,0.06467,0.15686,0.06221,0.02421,1.69075,3.26694,1.37952,0.0005644,0.0005644,0.0005644
22,104.724,1.85282,2.54387,1.37461,0.1967,0.19608,0.13472,0.05013,1.69686,3.11532,1.38465,0.00053418,0.00053418,0.00053418
23,108.233,2.02949,2.37108,1.58396,0.58157,0.191,0.38678,0.14875,1.70916,2.99756,1.37616,0.00049868,0.00049868,0.00049868
24,111.759,1.789,2.4788,1.32348,0.81563,0.26046,0.5864,0.26057,1.69474,2.90837,1.34368,0.0004579,0.0004579,0.0004579
25,115.281,1.66609,2.28012,1.32503,0.86228,0.49111,0.76393,0.32118,1.72066,2.70186,1.33757,0.00041184,0.00041184,0.00041184
26,118.787,1.689,2.23486,1.36196,0.97344,0.71881,0.86241,0.36892,1.71403,2.44569,1.33433,0.00035,0.00035,0.00035
27,122.301,1.94172,2.18008,1.559,0.9222,0.76471,0.86533,0.38752,1.69367,2.23421,1.32997,0.000284,0.000284,0.000284
28,125.828,1.67918,2.14212,1.34318,0.81202,0.76235,0.85056,0.39988,1.62023,2.11746,1.31416,0.000218,0.000218,0.000218
29,129.351,1.96755,2.48838,1.45211,0.78308,0.78431,0.83112,0.40031,1.58124,2.0831,1.30734,0.000152,0.000152,0.000152
30,132.846,1.64552,2.34443,1.31196,0.71938,0.80426,0.78866,0.40254,1.5746,2.05202,1.31228,8.6e-05,8.6e-05,8.6e-05
